,11_bin.53,21_bin.10,21_bin.47,22_bin.14,22_bin.5,23_bin.50,24_bin.42,24_bin.63,24_bin.64,25_bin.7,26_bin.35,26_bin.9,27_bin.15,28_bin.46,28_bin.47,29_bin.10,29_bin.22,29_bin.35,29_bin.53,31_bin.18,31_bin.4,32_bin.53,34_bin.2,34_bin.28,34_bin.29,34_bin.7,36_bin.22,36_bin.32,36_bin.39,37_bin.57,38_bin.9,39_bin.35,39_bin.46,40_bin.5,41_bin.32,41_bin.35,41_bin.37,41_bin.38,41_bin.76,42_bin.21,42_bin.6,43_bin.28,43_bin.34,43_bin.39,43_bin.59,44_bin.27,44_bin.41,44_bin.50,45_bin.16,46_bin.21,46_bin.56,46_bin.59,46_bin.73,47_bin.13,47_bin.30,47_bin.61,47_bin.64,48_bin.50,48_bin.65,49_bin.10,49_bin.68,49_bin.94,50_bin.1
M00620,28.57,28.57,28.57,28.57,0,28.57,14.29,28.57,28.57,14.29,28.57,28.57,28.57,28.57,28.57,0,14.29,28.57,28.57,28.57,28.57,28.57,28.57,28.57,28.57,28.57,14.29,28.57,28.57,28.57,28.57,28.57,28.57,14.29,28.57,14.29,28.57,14.29,28.57,28.57,28.57,14.29,28.57,28.57,28.57,28.57,28.57,28.57,28.57,28.57,28.57,28.57,28.57,14.29,28.57,28.57,28.57,28.57,28.57,28.57,28.57,28.57,14.29
M00628,75,75,50,50,75,50,50,50,75,50,75,50,50,75,50,75,50,50,75,75,50,50,75,75,50,75,75,75,50,50,50,50,75,25,50,75,75,75,75,50,75,50,75,75,50,75,75,50,50,50,75,75,50,50,50,75,75,50,75,50,75,75,50
M00631,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,100,0,0,0,0,100,0,0,0,0,80,0,80,0,20,0,0,0,0,0,0,0,0,100,40
M00632,25,50,25,75,0,50,25,50,25,75,75,50,50,25,50,75,75,50,25,25,50,50,25,0,50,75,25,50,50,50,50,50,25,75,50,25,75,25,75,50,25,75,25,100,50,75,25,50,75,50,75,75,25,0,50,25,75,50,25,50,75,75,75
M00647,0,50,0,50,0,50,0,50,0,0,50,50,50,0,50,50,0,50,0,0,50,50,0,0,50,0,0,50,50,50,50,50,0,0,50,0,50,50,0,50,0,50,0,0,50,0,0,50,0,50,0,50,0,0,50,0,50,50,0,50,50,0,0
M00668,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50,0,0,0,0,0,0,0,50,0,50,0,50,0,0,0,0,0,0,0,0,50,0,0,0,0,50,0,0,0,50,0,0,0,0,0,50,50,0,0,0,50,0,0,0,50,0,0
M00695,0,0,33.33,33.33,0,33.33,0,33.33,0,33.33,0,33.33,33.33,0,33.33,0,33.33,33.33,0,0,33.33,33.33,0,0,33.33,0,0,0,33.33,33.33,33.33,33.33,0,33.33,33.33,0,0,33.33,0,33.33,0,0,0,0,33.33,0,0,33.33,33.33,33.33,0,0,33.33,33.33,33.33,0,0,33.33,0,33.33,0,0,33.33
M00701,0,0,0,0,0,0,50,0,0,50,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50,0,0,0,50,50,0,50,0,0,50,0,0,50,50
M00707,0,100,100,100,100,100,0,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,0,100,100,100,100,0,100,100,100,100,100,100,100,0,100,0,100,100,100,0,100,100,100,100,100,100,100,100,0,0
M00727,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33
M00728,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,0,0,33.33,33.33,33.33,33.33,0,33.33,33.33,33.33,33.33,33.33,33.33,33.33,0,33.33,0,33.33,0,33.33,33.33,33.33,33.33,33.33,0,33.33,33.33,0,0,0,33.33,33.33,0,33.33,0,33.33,0,33.33,33.33,0,33.33,33.33,0,33.33,33.33,33.33,33.33,0,33.33,33.33,33.33,0,33.33,0
M00729,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,33.33,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,33.33,66.67,66.67,66.67,66.67,66.67,66.67
M00736,0,0,25,25,0,25,25,25,0,25,25,25,25,0,25,25,25,25,0,0,25,25,0,25,25,25,0,25,25,25,25,25,0,25,25,0,25,25,0,25,0,25,0,0,25,25,0,25,25,25,0,25,25,25,25,0,25,25,0,25,25,0,25
M00740,27.27,36.36,27.27,36.36,27.27,36.36,45.45,36.36,36.36,36.36,45.45,36.36,36.36,36.36,27.27,36.36,36.36,27.27,36.36,36.36,27.27,36.36,36.36,18.18,27.27,45.45,18.18,45.45,36.36,27.27,36.36,27.27,36.36,27.27,36.36,27.27,45.45,45.45,18.18,27.27,36.36,36.36,36.36,27.27,27.27,45.45,36.36,27.27,45.45,27.27,27.27,45.45,36.36,27.27,36.36,36.36,45.45,18.18,36.36,36.36,36.36,27.27,36.36
M00741,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,33.33,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,0,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67
M00742,0,50,50,50,0,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
M00743,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,0,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33
M00760,0,0,100,100,0,100,0,100,0,0,0,100,100,0,100,0,50,100,0,0,100,50,0,0,100,0,0,0,100,100,100,100,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,100,0,100,50,0,0,0,100,0,0,100,0,100,0,0,0
